Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Location,Device_Type
100000,101,2500,Online,Delhi,Android
100001,102,50000,UPI,Mumbai,iOS
100002,103,1200,Cash,Kolkata,Windows
100003,104,9800,UPI,Bangalore,Android
100004,105,7000,Online,Hyderabad,iOS
100005,106,1550,Cash,Chennai,Windows
100006,107,22000,UPI,Pune,Android
100007,108,4500,Online,Ahmedabad,iOS
100008,109,800,Cash,Jaipur,Windows
100009,110,32000,UPI,Lucknow,Android
100010,111,28000,Online,Surat,iOS
100011,112,1600,Cash,Bhopal,Windows
100012,113,8900,UPI,Patna,Android
100013,114,2300,Online,Indore,iOS
100014,115,1200,Cash,Nagpur,Windows
100015,116,9900,UPI,Chandigarh,Android
100016,117,7800,Online,Guwahati,iOS
100017,118,1800,Cash,Coimbatore,Windows
100018,119,31000,UPI,Vadodara,Android
100019,120,2500,Online,Ludhiana,iOS
100020,121,2000,Cash,Agra,Windows
100021,122,35000,UPI,Varanasi,Android
100022,123,9200,Online,Meerut,iOS
100023,124,47000,UPI,Raipur,Windows
100024,125,5400,Cash,Ranchi,Android
100025,126,1900,Online,Gwalior,iOS
100026,127,29500,UPI,Jodhpur,Windows
100027,128,6400,Cash,Thiruvananthapuram,Android
100028,129,8600,Online,Visakhapatnam,iOS
100029,130,28500,UPI,Bhubaneswar,Windows
100030,179,58141,UPI,Gwalior,Windows
100031,156,78488,UPI,Chennai,iOS
100032,151,67269,Cash,Coimbatore,Windows
100033,118,94417,Online,Agra,Windows
100034,159,28736,UPI,Pune,iOS
100035,140,75633,Online,Thiruvananthapuram,iOS
100036,113,5027,UPI,Raipur,iOS
100037,169,26393,Online,Agra,iOS
100038,156,859,UPI,Kolkata,iOS
100039,166,68989,Online,Lucknow,iOS
100040,105,19973,Cash,Coimbatore,iOS
100041,182,18614,Cash,Bhopal,Android
100042,104,30799,UPI,Thiruvananthapuram,Windows
100043,130,45325,Cash,Surat,Windows
100044,130,9775,Online,Lucknow,Android
100045,140,98933,Online,Guwahati,Android
100046,160,62504,Cash,Ranchi,Android
100047,169,22701,UPI,Meerut,iOS
100048,177,91298,Online,Delhi,Android
100049,182,84606,Online,Guwahati,Windows
100050,156,69805,Online,Meerut,Android
100051,188,67000,Cash,Gwalior,iOS
100052,196,86340,Cash,Patna,iOS
100053,148,35714,Online,Surat,Windows
100054,184,95299,UPI,Bangalore,iOS
100055,109,14524,Online,Chennai,Android
100056,163,74588,Cash,Chandigarh,Android
100057,173,3408,UPI,Ranchi,Android
100058,165,10103,Cash,Kolkata,iOS
100059,148,93599,UPI,Surat,Android
100060,109,41406,UPI,Mumbai,Android
100061,175,63913,UPI,Agra,Windows
100062,106,87735,Online,Ranchi,iOS
100063,170,44186,Cash,Kolkata,Android
100064,132,41367,Cash,Bhubaneswar,Windows
100065,153,56684,Cash,Ranchi,iOS
100066,105,9345,UPI,Meerut,iOS
100067,167,79398,UPI,Chennai,Windows
100068,111,48999,Online,Meerut,Windows
100069,131,67449,Cash,Bangalore,Android
100070,139,36610,Cash,Chennai,iOS
100071,199,12232,Cash,Jaipur,Windows
100072,104,11461,UPI,Patna,Android
100073,165,85346,Cash,Thiruvananthapuram,Windows
100074,165,83202,Cash,Kolkata,Windows
100075,190,23787,UPI,Meerut,Android
100076,143,13467,UPI,Ludhiana,iOS
100077,116,86579,Online,Bhubaneswar,iOS
100078,122,44765,Cash,Hyderabad,iOS
100079,146,57622,Online,Agra,Windows
100080,104,35322,Online,Hyderabad,Android
100081,168,81269,Cash,Jaipur,Windows
100082,176,64089,Online,Bangalore,iOS
100083,153,21042,Cash,Delhi,Windows
100084,140,52461,UPI,Varanasi,iOS
100085,126,17461,Cash,Meerut,Android
100086,196,24414,UPI,Nagpur,iOS
100087,184,55033,Online,Mumbai,Windows
100088,140,28002,Online,Hyderabad,iOS
100089,148,5578,Online,Surat,iOS
100090,142,39301,Cash,Bhubaneswar,Windows
100091,105,28859,Online,Coimbatore,iOS
100092,123,99424,UPI,Nagpur,iOS
100093,162,98512,Cash,Ahmedabad,Android
100094,107,76332,Cash,Ranchi,Windows
100095,146,2009,UPI,Patna,Android
100096,118,8035,Online,Agra,iOS
100097,169,18806,Cash,Indore,Windows
100098,145,72264,Online,Ranchi,iOS
100099,171,58689,UPI,Guwahati,iOS
100100,163,90965,Cash,Varanasi,Android
100101,164,76127,UPI,Visakhapatnam,Android
100102,125,78875,Online,Agra,Windows
100103,193,60737,Cash,Gwalior,iOS
100104,166,98611,UPI,Guwahati,Android
100105,156,69665,Cash,Chandigarh,Windows
100106,132,81343,Cash,Guwahati,Android
100107,123,85633,Online,Pune,Android
100108,161,76624,UPI,Patna,Android
100109,157,32398,Cash,Chennai,Android
100110,161,38958,Online,Gwalior,Android
100111,119,19526,Cash,Jodhpur,Windows
100112,125,37877,Online,Delhi,Windows
100113,148,64953,UPI,Patna,iOS
100114,112,41496,Cash,Ranchi,Windows
100115,128,60324,UPI,Agra,iOS
100116,199,75662,Cash,Indore,Windows
100117,150,34382,Cash,Nagpur,iOS
100118,139,50376,Online,Coimbatore,Windows
100119,136,23913,UPI,Pune,iOS
100120,173,41074,UPI,Agra,iOS
100121,179,89581,Online,Bhopal,iOS
100122,196,13960,Online,Chennai,iOS
100123,169,52327,Online,Patna,Windows
100124,184,57635,UPI,Bhubaneswar,Windows
100125,181,96210,Cash,Coimbatore,Android
100126,175,36694,Online,Coimbatore,Windows
100127,193,20495,Cash,Varanasi,iOS
100128,180,67574,Cash,Gwalior,Android
100129,122,65295,Cash,Hyderabad,iOS
100130,181,97641,UPI,Agra,iOS
100131,176,44247,UPI,Ludhiana,Android
100132,144,31540,Online,Chennai,Android
100133,108,15428,Cash,Visakhapatnam,iOS
100134,125,10425,UPI,Guwahati,iOS
100135,176,54681,UPI,Jaipur,Android
100136,133,97351,Cash,Pune,iOS
100137,128,26517,Cash,Pune,Windows
100138,192,6954,Online,Bhopal,Android
100139,186,44636,UPI,Ahmedabad,Windows
100140,120,38823,Online,Bhubaneswar,Android
100141,161,17012,UPI,Agra,iOS
100142,124,29934,Cash,Bhopal,Android
100143,125,1411,Online,Ahmedabad,iOS
100144,142,41147,Cash,Surat,Android
100145,195,62938,UPI,Kolkata,iOS
100146,141,12633,Cash,Bangalore,iOS
100147,122,3596,Cash,Guwahati,Windows
100148,140,77564,UPI,Gwalior,Windows
100149,173,24124,Cash,Bhopal,Windows
100150,106,87556,Cash,Thiruvananthapuram,Android
100151,173,12823,UPI,Delhi,iOS
100152,128,46909,Cash,Bhubaneswar,Android
100153,184,64581,UPI,Indore,Android
100154,180,7827,Cash,Hyderabad,iOS
100155,127,67826,UPI,Indore,Windows
100156,183,8710,Online,Varanasi,Android
100157,115,71368,UPI,Bangalore,Android
100158,187,12950,UPI,Vadodara,Android
100159,127,54970,Online,Indore,Windows
100160,128,40759,Online,Lucknow,iOS
100161,184,56202,UPI,Chandigarh,Windows
100162,132,26130,Online,Chennai,Android
100163,199,48651,Cash,Chandigarh,Windows
100164,135,71080,Online,Ahmedabad,iOS
100165,122,88185,Cash,Pune,Windows
100166,165,1038,Cash,Ludhiana,Windows
100167,158,6298,Online,Jaipur,Windows
100168,152,2660,UPI,Patna,Android
100169,143,71978,UPI,Vadodara,Android
100170,187,46157,Online,Bangalore,Android
100171,185,92941,Cash,Raipur,Android
100172,114,45875,UPI,Chandigarh,iOS
100173,121,42558,UPI,Patna,Windows
100174,197,27238,UPI,Jaipur,Windows
100175,193,40732,UPI,Bhubaneswar,Android
100176,135,99657,Online,Gwalior,Android
100177,190,75217,UPI,Varanasi,Android
100178,185,9237,Online,Ludhiana,Windows
100179,177,20630,Online,Pune,iOS
